# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
216900 0.00014625 0.000146237 -0.0025764 8.26783e-05
217000 0.00039625 0.000396169 -0.0218292 0.00099049
217100 0.00064625 0.000646039 -0.071217 0.00514511
217200 0.00089625 0.000895846 -0.0435756 0.00196421
217300 0.00114625 0.00114559 -0.113838 0.0134625
217400 0.00139625 0.00139527 -0.109856 0.0122279
217500 0.00164625 0.00164489 -0.125621 0.0162526
217600 0.00189625 0.00189445 -0.156338 0.0245289
217700 0.00214625 0.00214395 -0.15311 0.0234993
217800 0.00239625 0.00239338 -0.198443 0.0396095
217900 0.00264625 0.00264275 -0.196661 0.038817
218000 0.00289625 0.00289206 -0.251253 0.0638202
218100 0.00314625 0.00314131 -0.28244 0.079827
218200 0.00339625 0.00339049 -0.284785 0.0813633
218300 0.00364625 0.00363962 -0.307469 0.0945526
218400 0.00389625 0.00388868 -0.316173 0.100298
218500 0.00414625 0.00413768 -0.355604 0.12648
218600 0.00439625 0.00438661 -0.352282 0.124144
218700 0.00464625 0.00463549 -0.40132 0.161182
218800 0.00489625 0.0048843 -0.37301 0.139235
218900 0.00514625 0.00513305 -0.437337 0.191615
219000 0.00539625 0.00538174 -0.439231 0.193015
219100 0.00564625 0.00563037 -0.492508 0.243106
219200 0.00589625 0.00587893 -0.495489 0.245882
219300 0.00614625 0.00612744 -0.510132 0.261062
219400 0.00639625 0.00637588 -0.534448 0.285861
219500 0.00664625 0.00662426 -0.545916 0.29867
219600 0.00689625 0.00687258 -0.597465 0.357133
219700 0.00714625 0.00712083 -0.572806 0.328324
219800 0.00739625 0.00736903 -0.633326 0.40132
219900 0.00764625 0.00761716 -0.611782 0.374372
220000 0.00789625 0.00786524 -0.639093 0.408568
220100 0.00814625 0.00811325 -0.651532 0.424513
220200 0.00839625 0.00836119 -0.668883 0.447562
220300 0.00864625 0.00860908 -0.678998 0.46113
220400 0.00889625 0.00885691 -0.704286 0.496424
220500 0.00914625 0.00910467 -0.729233 0.531882
220600 0.00939625 0.00935238 -0.736871 0.543499
220700 0.00964625 0.00960002 -0.768778 0.591179
220800 0.00989625 0.0098476 -0.748234 0.560443
220900 0.0101462 0.0100951 -0.845695 0.71537
221000 0.0103963 0.0103426 -0.818185 0.669595
221100 0.0106462 0.01059 -0.867274 0.752439
