# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
192700 0.00015125 0.000151236 -0.0585638 0.00351705
192800 0.00040125 0.000401167 -0.0696046 0.00503225
192900 0.00065125 0.000651035 -0.082642 0.00698745
193000 0.00090125 0.000900842 -0.107652 0.0116293
193100 0.00115125 0.00115059 -0.139688 0.0196232
193200 0.00140125 0.00140027 -0.1503 0.0226593
193300 0.00165125 0.00164989 -0.189775 0.0362637
193400 0.00190125 0.00189944 -0.217318 0.0472733
193500 0.00215125 0.00214894 -0.215336 0.0465146
193600 0.00240125 0.00239837 -0.2432 0.0591823
193700 0.00265125 0.00264774 -0.242858 0.0591847
193800 0.00290125 0.00289705 -0.297329 0.0885162
193900 0.00315125 0.00314629 -0.299588 0.0898048
194000 0.00340125 0.00339548 -0.318056 0.10119
194100 0.00365125 0.0036446 -0.308671 0.0953734
194200 0.00390125 0.00389366 -0.370342 0.137676
194300 0.00415125 0.00414265 -0.375575 0.141112
194400 0.00440125 0.00439159 -0.425315 0.181361
194500 0.00465125 0.00464046 -0.417487 0.174712
194600 0.00490125 0.00488928 -0.440512 0.195421
194700 0.00515125 0.00513803 -0.462754 0.214472
194800 0.00540125 0.00538671 -0.467055 0.219125
194900 0.00565125 0.00563534 -0.511433 0.261829
195000 0.00590125 0.0058839 -0.509236 0.260064
195100 0.00615125 0.00613241 -0.585227 0.342779
195200 0.00640125 0.00638085 -0.524638 0.275404
195300 0.00665125 0.00662923 -0.605216 0.366565
195400 0.00690125 0.00687754 -0.575627 0.331539
195500 0.00715125 0.0071258 -0.625953 0.392544
195600 0.00740125 0.00737399 -0.64308 0.41357
195700 0.00765125 0.00762213 -0.658102 0.433445
195800 0.00790125 0.0078702 -0.681733 0.464826
195900 0.00815125 0.00811821 -0.702228 0.493478
196000 0.00840125 0.00836615 -0.726425 0.527742
196100 0.00865125 0.00861404 -0.730347 0.533526
196200 0.00890125 0.00886186 -0.761773 0.580327
196300 0.00915125 0.00910963 -0.774671 0.600303
196400 0.00940125 0.00935733 -0.808724 0.654117
196500 0.00965125 0.00960497 -0.819144 0.671062
196600 0.00990125 0.00985255 -0.826566 0.683258
196700 0.0101513 0.0101001 -0.845124 0.714321
196800 0.0104013 0.0103475 -0.87537 0.766326
196900 0.0106513 0.0105949 -0.872296 0.760973
197000 0.0109013 0.0108423 -0.911975 0.831796
197100 0.0111513 0.0110895 -0.928375 0.861957
197200 0.0114013 0.0113367 -0.931153 0.867141
197300 0.0116513 0.0115839 -0.953937 0.910033
197400 0.0119013 0.011831 -0.958746 0.919309
197500 0.0121513 0.012078 -0.989496 0.979137
197600 0.0124013 0.012325 -0.976302 0.953386
197700 0.0126513 0.0125719 -1.04865 1.09995
197800 0.0129013 0.0128187 -1.01292 1.02627
197900 0.0131513 0.0130655 -1.05855 1.12093
198000 0.0134013 0.0133122 -1.04541 1.09325
198100 0.0136513 0.0135589 -1.07672 1.15995
198200 0.0139013 0.0138055 -1.09249 1.19398
198300 0.0141513 0.0140521 -1.11554 1.24534
198400 0.0144013 0.0142985 -1.11955 1.25395
198500 0.0146513 0.014545 -1.12228 1.26087
198600 0.0149013 0.0147913 -1.18564 1.40585
198700 0.0151513 0.0150376 -1.17678 1.38509
198800 0.0154013 0.0152839 -1.2046 1.45134
198900 0.0156513 0.01553 -1.16941 1.36775
199000 0.0159013 0.0157761 -1.22894 1.51036
199100 0.0161513 0.0160222 -1.21493 1.47619
199200 0.0164013 0.0162682 -1.27437 1.62414
199300 0.0166513 0.0165141 -1.24812 1.55791
199400 0.0169013 0.01676 -1.25828 1.58336
199500 0.0171513 0.0170058 -1.26923 1.61098
199600 0.0174013 0.0172516 -1.28391 1.64856
199700 0.0176513 0.0174973 -1.27716 1.63126
199800 0.0179013 0.0177429 -1.3111 1.71974
199900 0.0181513 0.0179885 -1.35168 1.82709
200000 0.0184013 0.018234 -1.35455 1.83497
200100 0.0186513 0.0184794 -1.3687 1.87338
200200 0.0189013 0.0187248 -1.37363 1.887
200300 0.0191513 0.0189702 -1.37433 1.88901
200400 0.0194013 0.0192154 -1.37648 1.895
200500 0.0196513 0.0194607 -1.40109 1.96337
200600 0.0199013 0.0197058 -1.39878 1.95709
200700 0.0201513 0.0199509 -1.43964 2.07286
200800 0.0204013 0.0201959 -1.40013 1.96053
200900 0.0206513 0.0204409 -1.46315 2.14094
201000 0.0209013 0.0206858 -1.43405 2.0567
201100 0.0211513 0.0209307 -1.49903 2.24738
201200 0.0214013 0.0211755 -1.46744 2.15377
201300 0.0216513 0.0214202 -1.48323 2.20025
201400 0.0219013 0.0216649 -1.49035 2.22126
201500 0.0221513 0.0219095 -1.5137 2.29165
201600 0.0224013 0.022154 -1.52506 2.32602
201700 0.0226513 0.0223985 -1.51249 2.28771
201800 0.0229013 0.022643 -1.53126 2.34486
201900 0.0231513 0.0228873 -1.52421 2.32346
202000 0.0234013 0.0231316 -1.56112 2.43714
202100 0.0236513 0.0233759 -1.55658 2.42307
202200 0.0239013 0.0236201 -1.5925 2.53611
202300 0.0241513 0.0238642 -1.59204 2.53477
202400 0.0244013 0.0241083 -1.62149 2.62927
202500 0.0246513 0.0243523 -1.61514 2.60874
202600 0.0249013 0.0245963 -1.63348 2.66844
202700 0.0251513 0.0248402 -1.61897 2.62109
202800 0.0254013 0.025084 -1.64744 2.71415
202900 0.0256513 0.0253278 -1.65703 2.74589
203000 0.0259013 0.0255715 -1.70044 2.89165
203100 0.0261513 0.0258152 -1.6953 2.87411
203200 0.0264013 0.0260587 -1.70517 2.90777
203300 0.0266513 0.0263023 -1.68656 2.84458
203400 0.0269013 0.0265458 -1.70642 2.91204
203500 0.0271513 0.0267892 -1.71596 2.9446
203600 0.0274013 0.0270326 -1.71401 2.93806
203700 0.0276513 0.0272759 -1.71004 2.92431
203800 0.0279013 0.0275191 -1.72048 2.96054
203900 0.0281513 0.0277623 -1.74145 3.03287
204000 0.0284013 0.0280054 -1.719 2.95517
204100 0.0286513 0.0282485 -1.7706 3.13512
204200 0.0289013 0.0284915 -1.74231 3.03572
204300 0.0291513 0.0287344 -1.76864 3.12814
204400 0.0294013 0.0289773 -1.75445 3.07828
204500 0.0296513 0.0292202 -1.77167 3.13909
204600 0.0299013 0.0294629 -1.77405 3.14731
204700 0.0301513 0.0297056 -1.77479 3.15002
204800 0.0304013 0.0299483 -1.77538 3.152
204900 0.0306513 0.0301909 -1.78296 3.17902
205000 0.0309013 0.0304334 -1.79866 3.23525
205100 0.0311513 0.0306759 -1.81209 3.28377
205200 0.0314013 0.0309183 -1.82055 3.31443
205300 0.0316513 0.0311607 -1.8047 3.25698
205400 0.0319013 0.031403 -1.81681 3.30086
205500 0.0321513 0.0316452 -1.80486 3.25756
205600 0.0324013 0.0318874 -1.80513 3.25854
205700 0.0326513 0.0321295 -1.8247 3.32955
205800 0.0329013 0.0323716 -1.80983 3.27555
205900 0.0331513 0.0326136 -1.8146 3.29279
206000 0.0334013 0.0328555 -1.8062 3.26243
206100 0.0336513 0.0330974 -1.81335 3.28876
206200 0.0339013 0.0333393 -1.82069 3.31498
206300 0.0341513 0.033581 -1.82099 3.31614
206400 0.0344013 0.0338228 -1.84793 3.41486
206500 0.0346513 0.0340644 -1.85871 3.45493
206600 0.0349013 0.034306 -1.88069 3.53706
206700 0.0351513 0.0345475 -1.85373 3.43636
206800 0.0354013 0.034789 -1.88986 3.57169
206900 0.0356513 0.0350305 -1.86577 3.48133
207000 0.0359013 0.0352718 -1.90025 3.61164
207100 0.0361513 0.0355131 -1.89498 3.59113
207200 0.0364013 0.0357544 -1.9051 3.62991
207300 0.0366513 0.0359956 -1.92087 3.69017
207400 0.0369013 0.0362367 -1.90682 3.63672
207500 0.0371513 0.0364778 -1.94429 3.78052
207600 0.0374013 0.0367188 -1.91925 3.6841
207700 0.0376513 0.0369597 -1.99889 3.99579
207800 0.0379013 0.0372006 -1.93513 3.74508
207900 0.0381513 0.0374415 -1.96937 3.87863
208000 0.0384013 0.0376823 -1.95573 3.825
208100 0.0386513 0.037923 -1.96408 3.85778
208200 0.0389013 0.0381637 -1.97374 3.89565
208300 0.0391513 0.0384043 -1.98802 3.95228
208400 0.0394013 0.0386448 -1.97834 3.91385
208500 0.0396513 0.0388853 -1.99512 3.98058
208600 0.0399013 0.0391258 -2.00031 4.00133
208700 0.0401513 0.0393661 -2.0256 4.1031
208800 0.0404013 0.0396065 -2.00311 4.01269
208900 0.0406513 0.0398467 -2.00822 4.03333
209000 0.0409013 0.0400869 -2.01957 4.07876
209100 0.0411513 0.0403271 -1.98629 3.94541
209200 0.0414013 0.0405672 -2.00759 4.0305
209300 0.0416513 0.0408072 -1.99838 3.99355
209400 0.0419013 0.0410472 -1.99707 3.98834
209500 0.0421513 0.0412871 -1.96944 3.87877
209600 0.0424013 0.0415269 -1.98283 3.93168
209700 0.0426513 0.0417667 -1.96156 3.84783
209800 0.0429013 0.0420065 -1.95067 3.80518
209900 0.0431513 0.0422462 -1.96206 3.84971
210000 0.0434013 0.0424858 -1.97874 3.91549
210100 0.0436513 0.0427254 -1.97357 3.89514
210200 0.0439013 0.0429649 -1.97773 3.91164
210300 0.0441513 0.0432044 -1.99946 3.99789
210400 0.0444013 0.0434438 -1.99265 3.97074
210500 0.0446513 0.0436831 -2.00618 4.02485
210600 0.0449013 0.0439224 -1.96799 3.87316
210700 0.0451513 0.0441616 -2.00134 4.00544
210800 0.0454013 0.0444008 -1.95773 3.83276
210900 0.0456513 0.0446399 -1.98478 3.93955
211000 0.0459013 0.044879 -1.96041 3.8435
211100 0.0461513 0.045118 -1.94909 3.79897
211200 0.0464013 0.0453569 -1.94159 3.76988
211300 0.0466513 0.0455958 -1.9654 3.86311
211400 0.0469013 0.0458346 -1.96049 3.84396
211500 0.0471513 0.0460734 -1.93346 3.73833
211600 0.0474013 0.0463121 -1.96532 3.86253
211700 0.0476513 0.0465508 -1.94555 3.78523
211800 0.0479013 0.0467894 -1.97343 3.89452
211900 0.0481513 0.0470279 -1.96941 3.87867
212000 0.0484013 0.0472664 -1.98801 3.95238
212100 0.0486513 0.0475048 -1.99881 3.9953
212200 0.0489013 0.0477432 -2.01906 4.07671
212300 0.0491513 0.0479815 -2.01978 4.07978
212400 0.0494013 0.0482198 -1.99168 3.96699
212500 0.0496513 0.048458 -2.01848 4.0744
212600 0.0499013 0.0486961 -1.96979 3.88018
212700 0.0501513 0.0489342 -1.98952 3.95831
212800 0.0504013 0.0491722 -1.97071 3.8838
212900 0.0506513 0.0494102 -2.00978 4.03941
213000 0.0509013 0.0496481 -1.99423 3.97723
213100 0.0511513 0.049886 -1.99867 3.99477
213200 0.0514013 0.0501238 -1.95788 3.83393
213300 0.0516513 0.0503615 -1.97864 3.91557
213400 0.0519013 0.0505992 -1.99507 3.98033
213500 0.0521513 0.0508369 -2.00609 4.02465
213600 0.0524013 0.0510745 -1.99734 3.98992
213700 0.0526513 0.051312 -1.97285 3.89224
213800 0.0529013 0.0515494 -1.98944 3.95799
213900 0.0531513 0.0517869 -1.98524 3.94136
214000 0.0534013 0.0520242 -1.99314 3.97278
214100 0.0536513 0.0522615 -1.96557 3.86373
214200 0.0539013 0.0524988 -1.99503 3.98018
214300 0.0541513 0.0527359 -1.97412 3.89717
214400 0.0544013 0.0529731 -1.98947 3.95803
214500 0.0546513 0.0532101 -1.954 3.8182
214600 0.0549013 0.0534472 -1.97371 3.89567
214700 0.0551513 0.0536841 -1.97491 3.90035
214800 0.0554013 0.053921 -2.01251 4.05033
214900 0.0556513 0.0541579 -2.00979 4.03929
215000 0.0559013 0.0543947 -2.04207 4.17043
215100 0.0561513 0.0546314 -2.01654 4.06712
215200 0.0564013 0.0548681 -1.98937 3.95775
215300 0.0566513 0.0551047 -1.98568 3.94367
215400 0.0569013 0.0553413 -1.93538 3.74583
215500 0.0571513 0.0555778 -1.93804 3.75658
215600 0.0574013 0.0558142 -1.89318 3.58421
215700 0.0576513 0.0560506 -1.90758 3.63912
215800 0.0579013 0.056287 -1.86597 3.48225
215900 0.0581513 0.0565233 -1.92891 3.72088
216000 0.0584013 0.0567595 -1.84659 3.41031
216100 0.0586513 0.0569957 -1.91087 3.65171
216200 0.0589013 0.0572318 -1.85634 3.44613
216300 0.0591513 0.0574679 -1.91674 3.67459
216400 0.0594013 0.0577039 -1.89556 3.59348
216500 0.0596513 0.0579398 -1.92938 3.72297
216600 0.0599013 0.0581757 -1.90971 3.64751
216700 0.0601513 0.0584116 -1.90748 3.63852
216800 0.0604013 0.0586474 -1.8872 3.56163
216900 0.0606513 0.0588831 -1.90291 3.62118
217000 0.0609013 0.0591188 -1.88641 3.55881
217100 0.0611513 0.0593544 -1.86472 3.47732
217200 0.0614013 0.05959 -1.86154 3.46547
217300 0.0616513 0.0598255 -1.85224 3.43096
217400 0.0619013 0.0600609 -1.84375 3.4
217500 0.0621513 0.0602963 -1.78281 3.17853
217600 0.0624013 0.0605317 -1.80064 3.24235
217700 0.0626513 0.060767 -1.78218 3.17625
217800 0.0629013 0.0610022 -1.8005 3.24193
217900 0.0631513 0.0612374 -1.78299 3.17926
218000 0.0634013 0.0614725 -1.78874 3.19988
218100 0.0636513 0.0617076 -1.79749 3.23103
218200 0.0639013 0.0619426 -1.79024 3.20505
218300 0.0641513 0.0621775 -1.80385 3.25417
218400 0.0644013 0.0624124 -1.77871 3.16383
218500 0.0646513 0.0626473 -1.78005 3.16861
218600 0.0649013 0.0628821 -1.75788 3.09022
218700 0.0651513 0.0631168 -1.7799 3.1681
218800 0.0654013 0.0633515 -1.77673 3.15683
218900 0.0656513 0.0635861 -1.78512 3.18672
219000 0.0659013 0.0638207 -1.77783 3.16074
219100 0.0661513 0.0640552 -1.78149 3.17376
219200 0.0664013 0.0642897 -1.77645 3.15584
219300 0.0666513 0.0645241 -1.80641 3.26322
219400 0.0669013 0.0647584 -1.81613 3.29837
219500 0.0671513 0.0649927 -1.82594 3.33409
219600 0.0674013 0.065227 -1.80125 3.2446
219700 0.0676513 0.0654611 -1.8149 3.29398
219800 0.0679013 0.0656953 -1.80788 3.26852
219900 0.0681513 0.0659293 -1.81309 3.2875
220000 0.0684013 0.0661634 -1.83436 3.36502
220100 0.0686513 0.0663973 -1.82277 3.32275
