# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
221200 0.00026875 0.000268711 -0.0221188 0.000573409
221300 0.00051875 0.000518613 -0.0218838 0.000580868
221400 0.00076875 0.000768452 -0.0523431 0.00282884
221500 0.00101875 0.00101823 -0.051454 0.00267268
221600 0.00126875 0.00126794 -0.0764343 0.00589682
221700 0.00151875 0.0015176 -0.0882341 0.00787586
221800 0.00176875 0.00176719 -0.115517 0.0134267
221900 0.00201875 0.00201671 -0.141498 0.0200516
222000 0.00226875 0.00226618 -0.168397 0.028451
222100 0.00251875 0.00251558 -0.174451 0.0305317
222200 0.00276875 0.00276492 -0.188589 0.0356732
222300 0.00301875 0.0030142 -0.218917 0.0479729
222400 0.00326875 0.00326342 -0.224688 0.0506101
222500 0.00351875 0.00351257 -0.246304 0.0607227
222600 0.00376875 0.00376166 -0.225431 0.0508986
222700 0.00401875 0.00401069 -0.296714 0.0884866
222800 0.00426875 0.00425966 -0.278748 0.0780624
222900 0.00451875 0.00450857 -0.313384 0.0996655
223000 0.00476875 0.00475741 -0.36636 0.134281
223100 0.00501875 0.0050062 -0.355506 0.1266
223200 0.00526875 0.00525492 -0.388408 0.150995
223300 0.00551875 0.00550357 -0.369025 0.136546
223400 0.00576875 0.00575217 -0.4219 0.178055
223500 0.00601875 0.00600071 -0.389445 0.151769
223600 0.00626875 0.00624918 -0.444711 0.198143
223700 0.00651875 0.00649759 -0.436697 0.190773
223800 0.00676875 0.00674594 -0.479031 0.230207
223900 0.00701875 0.00699423 -0.507105 0.257247
224000 0.00726875 0.00724246 -0.509555 0.259744
224100 0.00751875 0.00749062 -0.516193 0.266469
224200 0.00776875 0.00773873 -0.551446 0.304376
224300 0.00801875 0.00798677 -0.546256 0.29875
224400 0.00826875 0.00823475 -0.536139 0.287914
224500 0.00851875 0.00848267 -0.607533 0.369177
224600 0.00876875 0.00873053 -0.593686 0.352544
224700 0.00901875 0.00897832 -0.644176 0.415344
224800 0.00926875 0.00922606 -0.621133 0.385982
224900 0.00951875 0.00947373 -0.65387 0.428218
225000 0.00976875 0.00972134 -0.677645 0.459302
225100 0.0100187 0.00996889 -0.664437 0.441564
225200 0.0102688 0.0102164 -0.683562 0.467335
225300 0.0105188 0.0104638 -0.683994 0.468266
