# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
195900 0.00028875 0.000288706 -0.0757003 0.00577572
196000 0.00053875 0.000538602 -0.0733357 0.00540614
196100 0.00078875 0.000788437 -0.106944 0.0116007
196200 0.00103875 0.00103821 -0.12513 0.0158129
196300 0.00128875 0.00128792 -0.155927 0.0243266
196400 0.00153875 0.00153756 -0.174991 0.0307246
196500 0.00178875 0.00178715 -0.215439 0.0464546
196600 0.00203875 0.00203667 -0.186716 0.0349593
196700 0.00228875 0.00228613 -0.239109 0.0578303
196800 0.00253875 0.00253553 -0.262523 0.0690193
196900 0.00278875 0.00278487 -0.306162 0.0938976
197000 0.00303875 0.00303414 -0.284352 0.0811559
197100 0.00328875 0.00328335 -0.329202 0.109794
197200 0.00353875 0.0035325 -0.36094 0.130573
197300 0.00378875 0.00378159 -0.35949 0.13022
197400 0.00403875 0.00403061 -0.418421 0.175358
197500 0.00428875 0.00427958 -0.391324 0.153522
197600 0.00453875 0.00452848 -0.461561 0.21317
197700 0.00478875 0.00477732 -0.420473 0.176983
197800 0.00503875 0.0050261 -0.487335 0.237735
197900 0.00528875 0.00527481 -0.468416 0.219529
198000 0.00553875 0.00552346 -0.531423 0.282874
198100 0.00578875 0.00577206 -0.517279 0.267763
198200 0.00603875 0.00602059 -0.555102 0.309004
198300 0.00628875 0.00626906 -0.584551 0.341946
198400 0.00653875 0.00651746 -0.606049 0.367623
198500 0.00678875 0.00676581 -0.62792 0.394306
198600 0.00703875 0.00701409 -0.63486 0.403213
198700 0.00728875 0.00726231 -0.653483 0.427061
198800 0.00753875 0.00751047 -0.657757 0.432679
198900 0.00778875 0.00775857 -0.691669 0.478581
199000 0.00803875 0.00800661 -0.710196 0.50442
199100 0.00828875 0.00825458 -0.7243 0.524697
199200 0.00853875 0.0085025 -0.754191 0.568847
199300 0.00878875 0.00875035 -0.746038 0.556594
199400 0.00903875 0.00899814 -0.780541 0.60941
199500 0.00928875 0.00924587 -0.802417 0.643902
199600 0.00953875 0.00949354 -0.803781 0.646115
199700 0.00978875 0.00974115 -0.838096 0.702599
199800 0.0100387 0.00998869 -0.871689 0.759874
199900 0.0102887 0.0102362 -0.882357 0.778592
200000 0.0105387 0.0104836 -0.896002 0.80285
200100 0.0107887 0.010731 -0.902734 0.815056
200200 0.0110387 0.0109783 -0.936343 0.87686
200300 0.0112887 0.0112255 -0.956266 0.914529
200400 0.0115387 0.0114727 -0.97594 0.952511
200500 0.0117887 0.0117198 -0.985724 0.971715
200600 0.0120387 0.0119669 -0.987983 0.976165
200700 0.0122887 0.0122139 -0.996896 0.993986
200800 0.0125387 0.0124608 -1.04012 1.08199
200900 0.0127887 0.0127077 -1.02795 1.05674
201000 0.0130387 0.0129545 -1.0819 1.17072
201100 0.0132887 0.0132012 -1.07218 1.14962
201200 0.0135387 0.0134479 -1.12141 1.25782
201300 0.0137887 0.0136945 -1.11924 1.25287
201400 0.0140387 0.0139411 -1.13861 1.29702
201500 0.0142887 0.0141876 -1.14901 1.3203
201600 0.0145387 0.0144341 -1.18256 1.39895
201700 0.0147887 0.0146805 -1.19891 1.43774
201800 0.0150387 0.0149268 -1.18827 1.41216
201900 0.0152887 0.0151731 -1.21842 1.48484
202000 0.0155387 0.0154193 -1.21976 1.48841
202100 0.0157887 0.0156654 -1.25564 1.57668
202200 0.0160387 0.0159115 -1.26228 1.59366
202300 0.0162887 0.0161575 -1.30356 1.69934
202400 0.0165387 0.0164035 -1.28449 1.64997
202500 0.0167887 0.0166494 -1.3288 1.76584
202600 0.0170387 0.0168952 -1.3025 1.69655
202700 0.0172887 0.017141 -1.35233 1.82901
202800 0.0175387 0.0173867 -1.32151 1.74655
202900 0.0177887 0.0176324 -1.37617 1.8944
203000 0.0180387 0.017878 -1.38884 1.9291
203100 0.0182887 0.0181235 -1.40951 1.98706
203200 0.0185387 0.018369 -1.42513 2.03109
203300 0.0187887 0.0186144 -1.42309 2.0253
203400 0.0190387 0.0188598 -1.42903 2.0422
203500 0.0192887 0.0191051 -1.43937 2.07227
203600 0.0195387 0.0193503 -1.48062 2.19229
203700 0.0197887 0.0195955 -1.49157 2.22482
203800 0.0200387 0.0198406 -1.519 2.30742
203900 0.0202887 0.0200857 -1.50646 2.26955
204000 0.0205387 0.0203307 -1.52472 2.3248
204100 0.0207887 0.0205756 -1.52989 2.34063
204200 0.0210387 0.0208205 -1.55921 2.43119
204300 0.0212887 0.0210653 -1.55132 2.40665
204400 0.0215387 0.0213101 -1.56335 2.44412
204500 0.0217887 0.0215548 -1.54798 2.39629
204600 0.0220387 0.0217994 -1.58057 2.49842
204700 0.0222887 0.022044 -1.58402 2.50923
204800 0.0225387 0.0222885 -1.58919 2.5256
204900 0.0227887 0.022533 -1.58734 2.51975
205000 0.0230387 0.0227774 -1.59227 2.53552
205100 0.0232887 0.0230217 -1.62599 2.64392
205200 0.0235387 0.023266 -1.61513 2.60868
205300 0.0237887 0.0235102 -1.63212 2.66386
205400 0.0240387 0.0237544 -1.62441 2.63883
205500 0.0242887 0.0239985 -1.66869 2.78465
205600 0.0245387 0.0242425 -1.64285 2.69922
205700 0.0247887 0.0244865 -1.66715 2.77964
205800 0.0250387 0.0247304 -1.67339 2.80028
205900 0.0252887 0.0249743 -1.69268 2.86521
206000 0.0255387 0.0252181 -1.66772 2.78148
206100 0.0257887 0.0254618 -1.69291 2.86626
206200 0.0260387 0.0257055 -1.72289 2.96838
206300 0.0262887 0.0259491 -1.72979 2.99228
206400 0.0265387 0.0261927 -1.7187 2.95407
206500 0.0267887 0.0264362 -1.70551 2.90889
206600 0.0270387 0.0266797 -1.74505 3.04524
206700 0.0272887 0.026923 -1.73423 3.00759
206800 0.0275387 0.0271664 -1.76933 3.13057
206900 0.0277887 0.0274096 -1.74908 3.0595
207000 0.0280387 0.0276529 -1.74272 3.03715
207100 0.0282887 0.027896 -1.76459 3.11389
207200 0.0285387 0.0281391 -1.79773 3.23194
207300 0.0287887 0.0283821 -1.78701 3.19365
207400 0.0290387 0.0286251 -1.77935 3.16623
207500 0.0292887 0.028868 -1.81414 3.29114
207600 0.0295387 0.0291109 -1.8275 3.33988
207700 0.0297887 0.0293537 -1.83792 3.37809
207800 0.0300387 0.0295964 -1.82098 3.31605
207900 0.0302887 0.0298391 -1.85188 3.42954
208000 0.0305387 0.0300817 -1.84941 3.42061
208100 0.0307887 0.0303243 -1.87897 3.53057
208200 0.0310387 0.0305668 -1.84332 3.3979
208300 0.0312887 0.0308092 -1.88301 3.54598
208400 0.0315387 0.0310516 -1.85956 3.45808
208500 0.0317887 0.0312939 -1.86694 3.48553
208600 0.0320387 0.0315362 -1.86544 3.47989
208700 0.0322887 0.0317784 -1.88424 3.5507
208800 0.0325387 0.0320206 -1.89357 3.58576
208900 0.0327887 0.0322627 -1.87449 3.51396
