# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 2.40814e-05 6e-06
36 2.13 0.0010119 0.000273
37 2.19 0.0195425 0.005724
38 2.25 0.178787 0.058362
39 2.31 0.867227 0.327481
40 2.37 2.56711 1.16601
41 2.43 5.09048 2.91396
42 2.49 7.36096 5.56779
43 2.55 8.3407 8.72132
44 2.61 7.88609 11.8446
45 2.67 6.61221 14.5848
46 2.73 5.20938 16.8416
47 2.79 4.07106 18.6837
48 2.85 3.26098 20.2235
49 2.91 2.69537 21.5503
50 2.97 2.27108 22.715
51 3.03 1.92533 23.7427
52 3.09 1.61634 24.6401
53 3.15 1.33492 25.4103
54 3.21 1.0795 26.057
55 3.27 0.85156 26.5865
56 3.33 0.656396 27.0096
57 3.39 0.491997 27.3383
58 3.45 0.362533 27.589
59 3.51 0.273963 27.7852
60 3.57 0.230244 27.9557
61 3.63 0.237256 28.1374
62 3.69 0.308933 28.382
63 3.75 0.451165 28.7509
64 3.81 0.666136 29.3131
65 3.87 0.955046 30.1448
66 3.93 1.30038 31.3126
67 3.99 1.67216 32.8604
68 4.05 2.02689 34.7934
69 4.11 2.31854 37.0705
70 4.17 2.49339 39.5915
71 4.23 2.52739 42.2209
72 4.29 2.42359 44.8144
73 4.35 2.24031 47.2791
74 4.41 2.06326 49.6119
75 4.47 1.98052 51.9124
76 4.53 2.05611 54.3652
77 4.59 2.28937 57.1692
78 4.65 2.62351 60.4674
79 4.71 2.98001 64.311
80 4.77 3.28867 68.6613
81 4.83 3.52498 73.442
82 4.89 3.67978 78.5573
83 4.95 3.75387 83.9048
84 5.01 3.72539 89.3416
85 5.07 3.56535 94.6705
86 5.13 3.24628 99.6379
87 5.19 2.79796 104.02
88 5.25 2.28234 107.677
89 5.31 1.77105 110.58
90 5.37 1.3316 112.812
91 5.43 0.993776 114.515
92 5.49 0.766398 115.857
93 5.55 0.630064 116.985
94 5.61 0.561596 118.012
95 5.67 0.536129 119.014
96 5.73 0.534707 120.034
97 5.79 0.549101 121.104
98 5.85 0.585565 122.269
99 5.91 0.655756 123.6
100 5.97 0.779013 125.215
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 4.25573e-06 1e-06
35 2.07 2.40932e-05 7e-06
36 2.13 0.00103098 0.000279
37 2.19 0.0194434 0.005702
38 2.25 0.177623 0.057995
39 2.31 0.871082 0.328302
40 2.37 2.57913 1.17074
41 2.43 5.09719 2.92102
42 2.49 7.37698 5.58075
43 2.55 8.33892 8.73392
44 2.61 7.87908 11.855
45 2.67 6.599 14.5906
46 2.73 5.1956 16.8423
47 2.79 4.06234 18.6811
48 2.85 3.25251 20.2174
49 2.91 2.69611 21.545
50 2.97 2.27921 22.7141
51 3.03 1.92927 23.7441
52 3.09 1.62188 24.6446
53 3.15 1.34093 25.4183
54 3.21 1.08107 26.0661
