# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 4.31942e-06 1e-06
34 2.01 0.000325326 8.1e-05
35 2.07 0.00630898 0.001727
36 2.13 0.0601705 0.018345
37 2.19 0.332753 0.115492
38 2.25 1.14481 0.46827
39 2.31 2.68387 1.33998
40 2.37 4.63437 2.92435
41 2.43 6.3149 5.19385
42 2.49 7.14672 7.89058
43 2.55 7.04515 10.6785
44 2.61 6.30308 13.2912
45 2.67 5.31809 15.5978
46 2.73 4.37426 17.5809
47 2.79 3.59036 19.2807
48 2.85 2.9806 20.7532
49 2.91 2.50664 22.0445
50 2.97 2.12164 23.1831
51 3.03 1.78464 24.1801
52 3.09 1.48297 25.0417
53 3.15 1.20883 25.7716
54 3.21 0.958503 26.3727
55 3.27 0.742666 26.8559
56 3.33 0.561869 27.235
57 3.39 0.424946 27.5322
58 3.45 0.333406 27.7737
59 3.51 0.29513 27.9948
60 3.57 0.31202 28.2367
61 3.63 0.393161 28.5518
62 3.69 0.541794 29.0006
63 3.75 0.756519 29.6479
64 3.81 1.03057 30.5583
65 3.87 1.3486 31.7875
66 3.93 1.68253 33.369
67 3.99 1.98294 35.2901
68 4.05 2.22017 37.5061
69 4.11 2.34896 39.9206
70 4.17 2.37244 42.431
71 4.23 2.30072 44.9361
72 4.29 2.18525 47.3835
73 4.35 2.08546 49.785
74 4.41 2.05648 52.2188
75 4.47 2.13848 54.819
76 4.53 2.33959 57.7406
77 4.59 2.62744 61.109
78 4.65 2.97166 65.0189
79 4.71 3.30989 69.4868
80 4.77 3.59835 74.4686
81 4.83 3.78095 79.8354
82 4.89 3.82891 85.4059
83 4.95 3.7115 90.9389
84 5.01 3.43388 96.1831
85 5.07 3.02722 100.918
86 5.13 2.54395 104.992
87 5.19 2.0469 108.347
88 5.25 1.58107 110.999
89 5.31 1.19461 113.048
90 5.37 0.898784 114.625
91 5.43 0.697981 115.876
92 5.49 0.578956 116.937
93 5.55 0.527649 117.926
94 5.61 0.525147 118.931
95 5.67 0.557712 120.022
96 5.73 0.621379 121.262
97 5.79 0.710896 122.712
98 5.85 0.841063 124.463
99 5.91 1.01882 126.627
100 5.97 1.25635 129.352
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0.000292835 7.2e-05
35 2.07 0.00592042 0.001616
36 2.13 0.0595468 0.018058
37 2.19 0.331921 0.114943
38 2.25 1.14479 0.467651
39 2.31 2.68318 1.339
40 2.37 4.63197 2.92236
41 2.43 6.31832 5.19289
42 2.49 7.15596 7.89297
43 2.55 7.05657 10.6854
44 2.61 6.3162 13.3038
45 2.67 5.32096 15.6123
46 2.73 4.36453 17.5918
47 2.79 3.57776 19.2866
48 2.85 2.97243 20.7559
49 2.91 2.49842 22.0434
50 2.97 2.11785 23.1803
51 3.03 1.78036 24.175
52 3.09 1.48546 25.0381
53 3.15 1.21234 25.7702
54 3.21 0.962765 26.3739
