# pzz temp rho vol up
38.312937 586.641189 22.073315 59280.063258 4.966461 
71.083123 1210.578268 23.629693 55375.514465 8.183233 
112.632868 2256.457605 25.224588 51874.264216 11.678958 
156.624832 3875.280355 26.411772 49542.577403 14.741587 
206.281397 6081.426194 27.480019 47616.776618 17.788907 
261.630921 8844.007279 28.449029 45994.833649 20.828945 
318.557542 10195.620023 29.125180 44927.121000 23.535423 
390.228294 14210.331278 30.150158 43399.868361 26.908864 
