# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 2.84129e-05 6e-06
30 1.77 0.000394349 9e-05
31 1.83 0.00481729 0.001176
32 1.89 0.0333984 0.009206
33 1.95 0.158363 0.049706
34 2.01 0.521829 0.191481
35 2.07 1.27289 0.558182
36 2.13 2.39919 1.28958
37 2.19 3.64175 2.4628
38 2.25 4.67138 4.05096
39 2.31 5.25964 5.93549
40 2.37 5.3677 7.95962
41 2.43 5.11428 9.98673
42 2.49 4.64618 11.92
43 2.55 4.0984 13.7082
44 2.61 3.53765 15.3252
45 2.67 3.03266 16.7759
46 2.73 2.59579 18.0741
47 2.79 2.23313 19.2406
48 2.85 1.9389 20.2975
49 2.91 1.7048 21.2664
50 2.97 1.51867 22.1655
51 3.03 1.3775 23.0142
52 3.09 1.2684 23.8269
53 3.15 1.1945 24.6222
54 3.21 1.13975 25.4103
55 3.27 1.11259 26.2088
56 3.33 1.10306 27.0298
57 3.39 1.118 27.8924
58 3.45 1.14736 28.8094
59 3.51 1.19508 29.7984
60 3.57 1.2591 30.8763
61 3.63 1.33932 32.062
62 3.69 1.43595 33.3756
63 3.75 1.54344 34.8338
64 3.81 1.65958 36.4518
65 3.87 1.78382 38.2456
66 3.93 1.90908 40.2251
67 3.99 2.0352 42.4001
68 4.05 2.15463 44.7723
69 4.11 2.26765 47.3435
70 4.17 2.36439 50.1033
71 4.23 2.45352 53.0499
72 4.29 2.51873 56.1611
73 4.35 2.56735 59.4217
74 4.41 2.59589 62.8105
75 4.47 2.60178 66.3003
76 4.53 2.58667 69.8641
77 4.59 2.5506 73.4721
78 4.65 2.49023 77.0873
79 4.71 2.41566 80.685
80 4.77 2.32528 84.2365
81 4.83 2.22912 87.7267
82 4.89 2.13099 91.1463
83 4.95 2.03352 94.4899
84 5.01 1.93973 97.7571
85 5.07 1.85629 100.959
86 5.13 1.78213 104.106
87 5.19 1.72051 107.216
88 5.25 1.6736 110.312
89 5.31 1.63721 113.41
90 5.37 1.61902 116.543
91 5.43 1.61257 119.735
92 5.49 1.61768 123.01
93 5.55 1.63645 126.395
94 5.61 1.66699 129.919
95 5.67 1.70951 133.61
96 5.73 1.75916 137.489
97 5.79 1.81127 141.566
98 5.85 1.87278 145.869
99 5.91 1.93319 150.403
100 5.97 1.99429 155.175
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 3.5659e-05 7e-06
30 1.77 0.000366002 8.4e-05
31 1.83 0.00457441 0.001112
32 1.89 0.0322653 0.008846
33 1.95 0.15536 0.048486
34 2.01 0.520787 0.189666
35 2.07 1.27119 0.555149
36 2.13 2.40787 1.28814
37 2.19 3.65177 2.4633
38 2.25 4.6819 4.05363
39 2.31 5.26522 5.93874
40 2.37 5.36743 7.96157
41 2.43 5.11313 9.98734
42 2.49 4.64299 11.9188
43 2.55 4.08353 13.7004
44 2.61 3.52925 15.3135
45 2.67 3.01991 16.7579
46 2.73 2.58457 18.0503
47 2.79 2.22206 19.2108
48 2.85 1.93385 20.2647
49 2.91 1.7011 21.2312
50 2.97 1.51811 22.1297
