#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
 198000      1.30e+00      1.77e-02      4.55e-02    8.1e-04
 200000      2.97e-01      8.89e-03      1.07e-02    7.7e-04
 202000      9.78e-01      6.51e-03      3.52e-02    7.7e-04
 204000      2.38e-01      3.67e-03      8.53e-03    7.7e-04
 206000      3.91e-01      3.17e-02      1.37e-02    7.7e-04
 208000      1.57e-01      5.20e-03      5.61e-03    7.7e-04
 210000      1.03e-01      2.20e-03      3.70e-03    7.7e-04
 212000      7.59e-02      1.31e-02      2.03e-03    7.7e-04
 214000      3.21e-01      1.65e-02      1.14e-02    7.7e-04
 216000      6.81e-01      1.12e-02      2.44e-02    7.7e-04
 218000      1.76e-01      8.25e-03      6.26e-03    7.7e-04
 220000      1.04e-01      1.20e-02      3.55e-03    7.7e-04
 222000      1.41e-01      7.95e-03      4.95e-03    7.7e-04
 224000      4.21e-01      3.65e-02      1.43e-02    7.7e-04
 226000      1.45e+00      3.15e-02      5.18e-02    7.7e-04
 228000      4.09e-01      4.35e-02      1.34e-02    7.7e-04
 230000      4.64e-01      3.75e-02      1.62e-02    7.7e-04
 232000      9.39e-01      3.86e-02      3.33e-02    7.7e-04
 234000      1.25e-01      6.12e-03      4.43e-03    7.7e-04
 236000      4.27e-01      7.84e-02      1.33e-02    7.7e-04
 238000      3.01e-01      3.50e-02      9.67e-03    7.7e-04
 240000      3.10e-01      2.07e-03      1.14e-02    7.4e-04
 242000      3.68e-01      1.55e-02      1.34e-02    7.4e-04
 244000      1.28e-01      3.23e-02      3.15e-03    7.4e-04
 246000      3.05e-01      8.20e-02      6.87e-03    7.4e-04
 248000      4.45e-01      8.81e-03      1.64e-02    7.4e-04
 250000      1.12e+00      9.26e-02      4.05e-02    7.4e-04
 252000      1.25e+00      5.02e-02      4.59e-02    7.4e-04
 254000      3.28e-01      7.26e-03      1.21e-02    7.4e-04
 256000      2.57e-02      2.39e-03      8.73e-04    7.4e-04
 258000      1.55e-01      3.54e-02      1.75e-03    7.4e-04
 260000      1.31e-01      9.21e-04      4.82e-03    7.4e-04
 262000      4.05e-01      2.76e-02      1.46e-02    7.4e-04
 264000      9.80e-02      4.73e-03      3.58e-03    7.4e-04
 266000      4.33e-01      2.52e-02      1.57e-02    7.4e-04
 268000      7.67e-01      5.48e-02      2.77e-02    7.4e-04
 270000      1.21e+00      4.24e-02      4.46e-02    7.4e-04
 272000      3.11e-01      1.43e-03      1.15e-02    7.4e-04
 274000      1.45e+00      5.24e-02      5.30e-02    7.4e-04
