# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
201500 0.00024125 0.000241218 -0.0109432 0.000171386
201600 0.00049125 0.000491127 0.00774774 0.000232529
201700 0.00074125 0.000740973 -0.06126 0.00416325
201800 0.00099125 0.000990756 -0.0672836 0.00463254
201900 0.00124125 0.00124048 -0.0863824 0.00771112
202000 0.00149125 0.00149014 -0.0926392 0.00881369
202100 0.00174125 0.00173973 -0.107614 0.0120736
202200 0.00199125 0.00198927 -0.137525 0.0191056
202300 0.00224125 0.00223874 -0.136376 0.0188624
202400 0.00249125 0.00248815 -0.169874 0.0288915
202500 0.00274125 0.0027375 -0.164479 0.027327
202600 0.00299125 0.00298678 -0.213617 0.0456857
202700 0.00324125 0.00323601 -0.194514 0.0378927
202800 0.00349125 0.00348517 -0.236166 0.0561388
202900 0.00374125 0.00373427 -0.235338 0.0554454
203000 0.00399125 0.0039833 -0.275599 0.0763052
203100 0.00424125 0.00423228 -0.279911 0.0784199
203200 0.00449125 0.00448119 -0.290681 0.0849838
203300 0.00474125 0.00473004 -0.315712 0.099746
203400 0.00499125 0.00497883 -0.321953 0.103909
203500 0.00524125 0.00522756 -0.353389 0.125012
203600 0.00549125 0.00547623 -0.348183 0.121604
203700 0.00574125 0.00572483 -0.401564 0.161339
203800 0.00599125 0.00597337 -0.366727 0.134761
203900 0.00624125 0.00622185 -0.43569 0.189996
204000 0.00649125 0.00647027 -0.406971 0.165804
204100 0.00674125 0.00671863 -0.474608 0.225949
204200 0.00699125 0.00696692 -0.444437 0.198166
204300 0.00724125 0.00721516 -0.484273 0.235747
204400 0.00749125 0.00746333 -0.501856 0.252349
204500 0.00774125 0.00771144 -0.512788 0.263659
204600 0.00799125 0.00795949 -0.534264 0.286118
204700 0.00824125 0.00820747 -0.516437 0.267128
204800 0.00849125 0.0084554 -0.559336 0.313023
204900 0.00874125 0.00870326 -0.534392 0.286018
205000 0.00899125 0.00895107 -0.593823 0.352775
205100 0.00924125 0.00919881 -0.58719 0.345026
205200 0.00949125 0.00944649 -0.629658 0.396617
205300 0.00974125 0.00969411 -0.61061 0.372947
205400 0.00999125 0.00994166 -0.655304 0.429516
205500 0.0102412 0.0101892 -0.643907 0.414804
205600 0.0104912 0.0104366 -0.670161 0.449395
205700 0.0107412 0.010684 -0.675788 0.456854
205800 0.0109912 0.0109313 -0.688159 0.473732
205900 0.0112412 0.0111785 -0.712559 0.507766
206000 0.0114912 0.0114257 -0.7332 0.537712
206100 0.0117412 0.0116729 -0.735168 0.540603
206200 0.0119912 0.0119199 -0.746684 0.557949
206300 0.0122412 0.0121669 -0.788649 0.622
206400 0.0124912 0.0124139 -0.790125 0.624345
206500 0.0127412 0.0126608 -0.816891 0.667376
206600 0.0129912 0.0129076 -0.802852 0.6446
206700 0.0132412 0.0131543 -0.817767 0.668815
206800 0.0134912 0.0134011 -0.836225 0.69938
206900 0.0137412 0.0136477 -0.858386 0.736857
207000 0.0139912 0.0138943 -0.858727 0.737682
207100 0.0142412 0.0141408 -0.922844 0.851822
207200 0.0144912 0.0143873 -0.903901 0.817289
207300 0.0147412 0.0146337 -0.913697 0.835034
207400 0.0149912 0.01488 -0.923773 0.8535
207500 0.0152412 0.0151263 -0.93605 0.876658
207600 0.0154912 0.0153725 -0.953736 0.909852
207700 0.0157412 0.0156186 -0.9569 0.915981
207800 0.0159912 0.0158647 -1.00198 1.00407
207900 0.0162412 0.0161108 -0.978167 0.957033
208000 0.0164912 0.0163567 -1.03268 1.06649
208100 0.0167412 0.0166027 -0.994998 0.990142
208200 0.0169912 0.0168485 -1.0504 1.1037
208300 0.0172412 0.0170943 -1.02222 1.04519
208400 0.0174912 0.01734 -1.06958 1.14448
208500 0.0177412 0.0175857 -1.05474 1.11294
208600 0.0179912 0.0178313 -1.0935 1.19652
208700 0.0182412 0.0180769 -1.10385 1.21897
208800 0.0184912 0.0183224 -1.10299 1.21714
208900 0.0187412 0.0185678 -1.12595 1.26804
209000 0.0189912 0.0188132 -1.11717 1.24844
209100 0.0192412 0.0190585 -1.15403 1.33187
209200 0.0194912 0.0193037 -1.14309 1.30686
209300 0.0197412 0.0195489 -1.18096 1.3947
209400 0.0199912 0.019794 -1.15885 1.34304
209500 0.0202412 0.0200391 -1.20373 1.44908
209600 0.0204912 0.0202841 -1.19463 1.42718
