# LAMMPS data file written by OVITO Basic 3.5.3
56 atoms
3 atom types
0.0 12.1850998583 xlo xhi
0.0 5.5264081124 ylo yhi
0.0 19.0199600748 zlo zhi
0.0 -0.466466 0.0 xy xz yz

Atoms  # atomic

1 1 6.7032207298 4.9190063471e-06 2.5176468961
2 1 3.6569402481 0.9210644725 2.5176475464
3 1 2.284572471 5.0417848415e-05 5.2347963178
4 1 11.4233859736 0.9210192585 5.2347968443
5 1 10.0506941269 5.0037334726e-05 7.9519478998
6 1 0.6106534535 4.9193502114e-06 2.5176478566
7 1 11.9586454526 2.7634466568 1.1590600585
8 1 9.74947283 0.9210644725 2.5176485088
9 1 8.9123645218 3.6840328991 1.1590604882
10 1 8.377105053 5.041819228e-05 5.2347972802
11 1 7.0044424785 0.9210190566 7.9519465076
12 1 5.6317933593 5.3157051321e-05 10.6690204388
13 1 2.5855127829 0.9210163117 10.6690203779
14 1 1.2127217715 5.005247274e-05 13.3861426752
15 1 10.3515407492 0.9210196152 13.3861430843
16 1 8.9789836133 4.6126676123e-05 16.1034020938
17 1 7.5402620436 2.7632513067 3.8761685569
18 1 5.3308533928 0.9210192585 5.2347958838
19 1 4.493981123 3.6842288302 3.8761689981
20 1 3.9581615449 5.0036990822e-05 7.9519469393
21 1 3.1214238205 2.7632554578 6.5934283842
22 1 0.9118752022 0.9210190566 7.95194747
23 1 0.0751370328 3.6842243762 6.5934286925
24 1 11.7243259412 5.3157349204e-05 10.6690214013
25 1 10.8874502025 2.7632579541 9.3105506573
26 1 8.6780453649 0.9210163122 10.6690213403
27 1 7.8411692641 3.6842216007 9.3105510451
28 1 5.8661128706 2.7634466564 1.1590590979
29 1 2.8198319398 3.6840328985 1.1590595257
30 1 1.4476947674 2.7632513073 3.8761695174
31 1 10.5865137038 3.6842288302 3.8761699586
32 1 9.2139564024 2.7632554584 6.5934293466
33 1 5.9327315903 0.9210231622 16.1034011663
34 1 4.5606002264 2.4143655392e-04 18.8205106932
35 1 1.5143138744 0.9208276429 18.8205112576
36 1 7.3052890476 5.0052075589e-05 13.3861417146
37 1 6.468550592 2.7632555965 12.0276233153
38 1 4.2590081672 0.9210196147 13.3861421237
39 1 3.4222700634 3.6842241361 12.027623267
40 1 2.8864510325 4.6126278934e-05 16.1034011313
41 1 2.0495770053 2.7632556322 14.7447743067
42 1 -0.1598356859 0.9210231627 16.1034021287
43 1 11.188390517 3.684224468 14.7447748534
44 1 10.6531328084 2.4143685185e-04 18.8205116537
45 1 9.8160246367 2.7632100855 17.4619235796
46 1 6.1677043091 3.6842243756 6.5934277301
47 1 4.7949176205 2.7632579535 9.3105496968
48 1 1.7486366821 3.6842216007 9.3105500827
49 1 0.3759833158 2.7632555971 12.0276242776
50 1 9.5148026454 3.6842241361 12.0276242275
51 1 8.142109586 2.7632556327 14.7447752691
52 1 7.6068811507 0.920827643 18.8205102972
53 1 6.7697726321 3.684269816 17.461922673
54 1 5.0958579351 3.684224468 14.744773891
55 1 3.7234920547 2.7632100855 17.4619226191
56 1 0.6772053559 3.684269816 17.4619236335
