# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 7.95111e-05 1.8e-05
33 1.95 0.00144105 0.000365
34 2.01 0.0159741 0.004452
35 2.07 0.103453 0.032522
36 2.13 0.430895 0.156309
37 2.19 1.22536 0.528422
38 2.25 2.53763 1.34181
39 2.31 4.1202 2.7338
40 2.37 5.48661 4.68488
41 2.43 6.29172 7.03685
42 2.49 6.42301 9.55773
43 2.55 6.04273 12.0447
44 2.61 5.35087 14.3514
45 2.67 4.56935 16.4126
46 2.73 3.82908 18.2182
47 2.79 3.19368 19.7911
48 2.85 2.65887 21.1575
49 2.91 2.22925 22.352
50 2.97 1.86841 23.3949
51 3.03 1.55674 24.2994
52 3.09 1.29828 25.0839
53 3.15 1.07231 25.7574
54 3.21 0.878401 26.3303
55 3.27 0.71781 26.8161
56 3.33 0.594231 27.2332
57 3.39 0.509231 27.6035
58 3.45 0.473445 27.96
59 3.51 0.489219 28.3414
60 3.57 0.560146 28.7932
61 3.63 0.682513 29.3625
62 3.69 0.8581 30.1022
63 3.75 1.07414 31.0585
64 3.81 1.31757 32.2694
65 3.87 1.56877 33.7567
66 3.93 1.80185 35.5184
67 3.99 1.9924 37.5262
68 4.05 2.12419 39.7315
69 4.11 2.20244 42.0863
70 4.17 2.22567 44.5359
71 4.23 2.23097 47.0627
72 4.29 2.23784 49.6696
73 4.35 2.28425 52.4055
74 4.41 2.38105 55.3365
75 4.47 2.54402 58.5537
76 4.53 2.74615 62.1205
77 4.59 2.97694 66.0903
78 4.65 3.20296 70.4739
79 4.71 3.38473 75.2265
80 4.77 3.47934 80.2369
81 4.83 3.4662 85.3544
82 4.89 3.33828 90.4061
83 4.95 3.09723 95.2089
84 5.01 2.77326 99.6143
85 5.07 2.39813 103.516
86 5.13 2.00704 106.859
87 5.19 1.63868 109.652
88 5.25 1.31804 111.951
89 5.31 1.05753 113.837
90 5.37 0.86521 115.416
91 5.43 0.738147 116.792
92 5.49 0.670109 118.07
93 5.55 0.656727 119.349
94 5.61 0.687994 120.719
95 5.67 0.762156 122.269
96 5.73 0.879591 124.097
97 5.79 1.0388 126.301
98 5.85 1.24483 128.997
99 5.91 1.49159 132.296
100 5.97 1.77257 136.295
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 7.5133e-05 1.7e-05
33 1.95 0.00139955 0.000354
34 2.01 0.0157303 0.004378
35 2.07 0.104527 0.032738
36 2.13 0.433262 0.157201
37 2.19 1.22265 0.528494
38 2.25 2.54596 1.34458
39 2.31 4.12138 2.73705
40 2.37 5.49354 4.69077
41 2.43 6.29569 7.04456
42 2.49 6.44045 9.57283
43 2.55 6.04664 12.0623
44 2.61 5.35107 14.3702
45 2.67 4.56588 16.4311
46 2.73 3.81967 18.2335
47 2.79 3.1842 19.8028
48 2.85 2.64997 21.1656
49 2.91 2.21738 22.3544
50 2.97 1.86354 23.3952
51 3.03 1.55772 24.3007
52 3.09 1.29675 25.0846
