time temp rho vol pzz tau tauvm dhug dray lgr_vel lgr_pos msst
100 294.633273733662 19.332616520159 67683.7855035779 -1244.556410658 -223.546434157243 544.66915078494 3.00646197687307 -48.5202519482011 0 0 -14448.8303354229
101 8843.48316421894 28.557311774471 45820.3026989084 2680984.60843844 25897.8699825394 62750.4866191321 330.44953056848 43711.4442292578 20.9965558476098 -45.7376820259716 -14444.4238676455
102 8686.63588757875 28.405729595535 46064.8146836913 2610691.67636134 15461.170320122 41679.4612522901 14.4938551923135 2926.04060653131 20.7617392088441 -89.9288322298712 -14444.0296712372
103 8873.99477454424 28.4174523522238 46045.8120437727 2606652.21193562 13663.5748867348 33246.3768354334 -26.6631943793276 -3406.64858116768 20.7799883594423 -134.081448382214 -14444.1090169219
104 8878.50060861092 28.4377674065908 46012.9183513227 2614718.1610424 12642.6095632196 30739.2535305554 0.358076388234268 689.713649117388 20.8115777570114 -178.267431061334 -14444.1035670655
105 8884.86025763006 28.4408728205453 46007.894273488 2609044.8216005 7974.15576591482 29730.2683454556 -39.4874817849702 -5589.92785112746 20.8164026209995 -222.438570731261 -14444.0737071924
106 8847.2522268452 28.4918574781525 45925.565603321 2640125.74849871 13195.0420291519 35507.0523200107 97.9346150191911 15555.6350209727 20.8954668092838 -266.607813547437 -14444.0885268141
107 8732.41655114521 28.3353723727057 46179.1944203915 2561454.93816103 3189.41175214411 8759.52204811901 -215.578094306527 -32507.434173862 20.6518948372535 -310.760631497585 -14444.044769253
108 8823.3195290589 28.3686647616922 46125.0002693222 2578887.4535777 7284.70157251577 17739.2065165564 -144.310242060936 -21615.02948493 20.7039400914203 -354.920219291668 -14444.0800053727
109 8898.11411456685 28.4261506378881 46031.7222138868 2596398.5247126 4815.75159734511 11618.5720464527 -103.677736776853 -15360.6862252364 20.7935195018831 -399.092108730933 -14444.0652515523
110 8914.98516485821 28.425079412381 46033.4569620736 2601372.74888658 7497.89036741573 18629.9910225874 -70.6329281704697 -10177.113902004 20.7918535396249 -443.259755306188 -14444.1412670488
111 9014.09632643149 28.3650859437558 46130.8198525454 2573693.65777013 10612.8701770843 30732.0741532252 -174.131600439563 -26106.5222225422 20.6983512652828 -487.418076812663 -14444.1183640543
112 8911.10324087933 28.4669727881891 45965.711897412 2613959.55942493 4218.95066177542 21615.9890835168 -41.5453155209661 -5765.72848616214 20.8569123889526 -531.576299737599 -14444.079709454
113 8764.80246934946 28.4345041242133 46018.1990182523 2608246.18077997 5572.67579837237 33792.4896971586 -38.2470232875716 -5144.9995696363 20.8065064781538 -575.740211752905 -14444.0182443861
114 8928.9483887253 28.5347490835429 45856.5332375055 2651775.16100076 10630.826027829 26494.7290862654 119.907054660782 18874.2718337178 20.9617619159276 -619.929627452426 -14444.0866045807
115 8763.75345655791 28.4945744598261 45921.1865619611 2644697.60377965 13650.8494446205 33217.851271556 124.109090778902 19599.0307761198 20.8996722136695 -664.078982349604 -14444.0025876453
116 8679.80128985572 28.4457587097183 45999.9918837223 2629428.35726434 14245.2788846337 36705.8745356231 86.123422176332 13839.953164347 20.8239916666025 -708.245936223 -14444.0793746237
117 8690.81238562926 28.4874756282995 45932.629722849 2643865.9784276 12311.9463010712 30496.13398477 127.600687207639 20148.3577557392 20.8886827949752 -752.430895040733 -14443.966221589
118 8917.2508634462 28.3810672104031 46104.8437704179 2581366.64405057 7356.41677676397 19451.996478804 -145.028275967813 -21568.3106370643 20.7232973483916 -796.600288115221 -14444.1419632908
119 8633.06466116881 28.41729644132 46046.0646731594 2607760.27691386 8052.39619623986 25444.0015154567 -19.0990543525543 -2268.09647231596 20.7797457472714 -840.788577991596 -14444.0261014681
120 8715.04077240506 28.4237740494916 46035.5710503113 2624366.88242345 19649.4863144439 49203.3528794253 81.3000790761169 13072.1462654946 20.7898232788405 -884.993828707632 -14444.033996642
121 8815.4685923907 28.5305688258372 45863.2520704736 2658564.41695001 14053.9150741491 34267.0704188502 169.755169478105 26474.3516579685 20.9553094969372 -929.17975094514 -14444.0402675423
122 8883.2938817848 28.4669472844748 45965.7530783778 2626186.16578376 12966.9905107729 31471.9224831194 37.9026745038951 6465.84756167652 20.8568728408871 -973.357906532006 -14444.0476589775
123 8788.27086681085 28.4442470066294 46002.4366075993 2621882.3040981 14761.9450103794 41978.0353541293 38.8435496820944 6588.92749718344 20.8216438804847 -1017.52562442003 -14444.0332894441
124 8716.51495284754 28.4710640283959 45959.1067080708 2636323.734691 13008.9133885968 54492.8073028065 99.0431506805488 15801.337335139 20.8632556704931 -1061.70105648297 -14444.0310250285
125 8700.96906593487 28.5209592242538 45878.704831941 2655135.08687905 10113.6051579837 27040.357330991 159.398890922869 24909.849599855 20.940469465637 -1105.86918265572 -14444.0409886436
126 8846.88600445929 28.4855749534448 45935.6945370388 2628443.51511669 6853.64015228301 16601.3804057554 28.9114573598871 5095.75399176683 20.8857395062561 -1150.0495525517 -14444.1092264964
127 8802.4626903153 28.3757924570293 46113.4141629663 2592444.70377046 14402.0045743363 34941.7743646969 -65.8519464935348 -9455.98217892554 20.7150667875342 -1194.24774187279 -14444.039248884
128 8854.86103983172 28.4754913777252 45951.9610185528 2624774.48269746 7132.50622376287 17414.6848098809 17.6591527119925 3389.74872866226 20.870118020393 -1238.41784607017 -14444.0920397674
129 8807.02659143207 28.497053583364 45917.1916123021 2621922.97830915 -3365.7090853136 12524.408838279 -28.5759515216169 -3657.70231312234 20.9035087562905 -1282.58224019351 -14444.0968746151
