# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 2.16161e-05 5e-06
31 1.83 0.000272998 6.6e-05
32 1.89 0.00378142 0.000956
33 1.95 0.0277581 0.007892
34 2.01 0.139533 0.04489
35 2.07 0.478409 0.179374
36 2.13 1.20464 0.53781
37 2.19 2.3383 1.2732
38 2.25 3.6688 2.49097
39 2.31 4.85476 4.18932
40 2.37 5.62707 6.26124
41 2.43 5.89701 8.5437
42 2.49 5.71738 10.8671
43 2.55 5.23272 13.0973
44 2.61 4.61003 15.1555
45 2.67 3.94895 17.0006
46 2.73 3.33668 18.6304
47 2.79 2.79437 20.056
48 2.85 2.3404 21.3018
49 2.91 1.95981 22.3895
50 2.97 1.65154 23.3442
51 3.03 1.39546 24.1839
52 3.09 1.18189 24.9234
53 3.15 1.0139 25.5828
54 3.21 0.884101 26.1798
55 3.27 0.783904 26.7292
56 3.33 0.720902 27.2532
57 3.39 0.693577 27.7756
58 3.45 0.704051 28.325
59 3.51 0.751864 28.9322
60 3.57 0.839309 29.6336
61 3.63 0.961726 30.4645
62 3.69 1.11071 31.4561
63 3.75 1.27915 32.6354
64 3.81 1.46211 34.0269
65 3.87 1.64091 35.638
66 3.93 1.81152 37.4721
67 3.99 1.96133 39.519
68 4.05 2.08759 41.7635
69 4.11 2.19193 44.1905
70 4.17 2.28113 46.7906
71 4.23 2.37039 49.5707
72 4.29 2.45953 52.5377
73 4.35 2.56054 55.7135
74 4.41 2.67226 59.12
75 4.47 2.80047 62.7879
76 4.53 2.92 66.7157
77 4.59 3.02295 70.8905
78 4.65 3.08921 75.2689
79 4.71 3.10382 79.7822
80 4.77 3.05572 84.3392
81 4.83 2.93792 88.8314
82 4.89 2.7597 93.1563
83 4.95 2.53147 97.2212
84 5.01 2.27294 100.96
85 5.07 2.00399 104.336
86 5.13 1.73922 107.335
87 5.19 1.49858 109.98
88 5.25 1.29092 112.312
89 5.31 1.12552 114.392
90 5.37 1.00543 116.292
91 5.43 0.932989 118.095
92 5.49 0.908034 119.89
93 5.55 0.927876 121.763
94 5.61 0.993452 123.813
95 5.67 1.10319 126.139
96 5.73 1.25107 128.832
97 5.79 1.43174 131.979
98 5.85 1.63653 135.651
99 5.91 1.85923 139.908
100 5.97 2.08282 144.774
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 5.2141e-06 1e-06
30 1.77 9.72392e-06 3e-06
31 1.83 0.000346123 7.9e-05
32 1.89 0.00367669 0.00094
33 1.95 0.0277109 0.007848
34 2.01 0.13707 0.044152
35 2.07 0.475263 0.177654
36 2.13 1.20234 0.535253
37 2.19 2.3403 1.27106
38 2.25 3.66996 2.489
39 2.31 4.85208 4.18627
40 2.37 5.63299 6.26039
41 2.43 5.89515 8.54231
42 2.49 5.71584 10.8654
43 2.55 5.23988 13.099
44 2.61 4.60973 15.1574
45 2.67 3.9561 17.0062
46 2.73 3.33643 18.6362
47 2.79 2.79798 20.0639
48 2.85 2.33954 21.3096
49 2.91 1.9585 22.3967
50 2.97 1.64864 23.35
