# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_rdf[1] c_rdf[2] c_rdf[3]
200000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 1.10526e-05 3e-06
40 2.37 0.00132617 0.000382
41 2.43 0.0473303 0.014598
42 2.49 0.560356 0.191308
43 2.55 2.84095 1.13084
44 2.61 7.36064 3.68079
45 2.67 11.3573 7.79804
46 2.73 11.9535 12.3282
47 2.79 9.79108 16.2037
48 2.85 7.01135 19.0995
49 2.91 4.68677 21.1176
50 2.97 2.96017 22.4453
51 3.03 1.71235 23.2447
52 3.09 0.895424 23.6794
53 3.15 0.435398 23.8991
54 3.21 0.239199 24.0245
55 3.27 0.220493 24.1444
56 3.33 0.320921 24.3254
57 3.39 0.49854 24.6168
58 3.45 0.710806 25.0471
59 3.51 0.887479 25.6031
60 3.57 0.960339 26.2254
61 3.63 0.900543 26.8288
62 3.69 0.740133 27.3412
63 3.75 0.578055 27.7545
64 3.81 0.532037 28.1472
65 3.87 0.686115 28.6697
66 3.93 1.02109 29.4716
67 3.99 1.41416 30.6164
68 4.05 1.65463 31.9965
69 4.11 1.60624 33.3762
70 4.17 1.3004 34.5261
71 4.23 0.918567 35.3618
72 4.29 0.684681 36.0027
73 4.35 0.757799 36.732
74 4.41 1.19036 37.9094
75 4.47 1.88099 39.8207
76 4.53 2.59018 42.5236
77 4.59 3.0718 45.8145
78 4.65 3.33986 49.4865
79 4.71 3.66232 53.6177
80 4.77 4.24141 58.5249
81 4.83 4.82405 64.2475
82 4.89 4.91512 70.2238
83 4.95 4.25579 75.5262
84 5.01 3.08015 79.4573
85 5.07 1.88245 81.9178
86 5.13 1.06054 83.337
87 5.19 0.784525 84.4116
88 5.25 1.03658 85.8647
89 5.31 1.60748 88.1697
90 5.37 2.13997 91.3078
91 5.43 2.35322 94.8361
92 5.49 2.27054 98.316
93 5.55 2.1383 101.665
94 5.61 2.15929 105.121
95 5.67 2.30172 108.884
96 5.73 2.3646 112.831
97 5.79 2.17827 116.544
98 5.85 1.74234 119.576
99 5.91 1.19862 121.705
100 5.97 0.724426 123.017
300000 100
1 0.03 0 0
2 0.09 0 0
3 0.15 0 0
4 0.21 0 0
5 0.27 0 0
6 0.33 0 0
7 0.39 0 0
8 0.45 0 0
9 0.51 0 0
10 0.57 0 0
11 0.63 0 0
12 0.69 0 0
13 0.75 0 0
14 0.81 0 0
15 0.87 0 0
16 0.93 0 0
17 0.99 0 0
18 1.05 0 0
19 1.11 0 0
20 1.17 0 0
21 1.23 0 0
22 1.29 0 0
23 1.35 0 0
24 1.41 0 0
25 1.47 0 0
26 1.53 0 0
27 1.59 0 0
28 1.65 0 0
29 1.71 0 0
30 1.77 0 0
31 1.83 0 0
32 1.89 0 0
33 1.95 0 0
34 2.01 0 0
35 2.07 0 0
36 2.13 0 0
37 2.19 0 0
38 2.25 0 0
39 2.31 1.10627e-05 3e-06
40 2.37 0.00122875 0.000354
41 2.43 0.0473976 0.014587
42 2.49 0.560725 0.19138
43 2.55 2.8421 1.13116
44 2.61 7.35969 3.68058
45 2.67 11.3464 7.79373
46 2.73 11.9475 12.3215
47 2.79 9.80191 16.2013
48 2.85 7.01704 19.0995
49 2.91 4.69237 21.12
50 2.97 2.95836 22.4469
51 3.03 1.71449 23.2473
52 3.09 0.89387 23.6813
53 3.15 0.433856 23.9002
54 3.21 0.236031 24.0239
55 3.27 0.217984 24.1424
56 3.33 0.318379 24.322
57 3.39 0.498257 24.6131
58 3.45 0.712701 25.0445
59 3.51 0.89065 25.6025
60 3.57 0.965035 26.2279
61 3.63 0.9008 26.8314
62 3.69 0.739367 27.3433
63 3.75 0.576614 27.7556
64 3.81 0.530917 28.1475
65 3.87 0.68225 28.6671
66 3.93 1.02272 29.4703
67 3.99 1.41276 30.6139
68 4.05 1.65723 31.9961
69 4.11 1.60817 33.3774
70 4.17 1.30126 34.528
71 4.23 0.91794 35.3632
72 4.29 0.683008 36.0024
73 4.35 0.75582 36.7297
74 4.41 1.18868 37.9052
75 4.47 1.88091 39.8163
76 4.53 2.58946 42.5183
77 4.59 3.07434 45.8118
78 4.65 3.3337 49.4771
79 4.71 3.6608 53.6065
80 4.77 4.23995 58.5119
81 4.83 4.82682 64.2377
82 4.89 4.92141 70.2216
83 4.95 4.26517 75.5356
84 5.01 3.0856 79.4737
85 5.07 1.88103 81.9323
86 5.13 1.05618 83.3456
87 5.19 0.778797 84.4123
88 5.25 1.0322 85.859
89 5.31 1.6056 88.1611
90 5.37 2.13929 91.298
91 5.43 2.35176 94.8239
92 5.49 2.27021 98.3032
93 5.55 2.13694 101.65
94 5.61 2.16136 105.109
95 5.67 2.30656 108.88
96 5.73 2.36746 112.832
97 5.79 2.18402 116.555
98 5.85 1.74313 119.588
99 5.91 1.19895 121.718
100 5.97 0.722046 123.026
