# Time-averaged data for fix strainstress
# TimeStep v_strain v_truestrain v_pzz v_pzzsq
226400 0.0305962 0.0301375 -1.78659 3.19195
226500 0.0308462 0.0303801 -1.76792 3.12558
226600 0.0310962 0.0306226 -1.79297 3.21479
226700 0.0313463 0.030865 -1.79624 3.22655
226800 0.0315962 0.0311074 -1.81865 3.3076
226900 0.0318462 0.0313497 -1.79518 3.22271
227000 0.0320962 0.0315919 -1.82075 3.31529
227100 0.0323463 0.0318341 -1.79568 3.22457
227200 0.0325963 0.0320763 -1.80867 3.27145
227300 0.0328462 0.0323183 -1.81849 3.30695
227400 0.0330962 0.0325604 -1.82275 3.32252
227500 0.0333462 0.0328023 -1.8377 3.37717
227600 0.0335963 0.0330442 -1.83375 3.3627
227700 0.0338462 0.0332861 -1.84129 3.39054
227800 0.0340963 0.0335279 -1.85885 3.45542
227900 0.0343462 0.0337696 -1.82805 3.34179
228000 0.0345963 0.0340113 -1.8464 3.40927
228100 0.0348463 0.0342529 -1.83382 3.36311
228200 0.0350962 0.0344944 -1.85616 3.44596
228300 0.0353462 0.0347359 -1.86884 3.493
228400 0.0355962 0.0349773 -1.85328 3.43493
228500 0.0358463 0.0352187 -1.87737 3.5247
228600 0.0360963 0.03546 -1.86281 3.47061
228700 0.0363462 0.0357013 -1.94441 3.78092
228800 0.0365962 0.0359425 -1.85502 3.44172
228900 0.0368463 0.0361837 -1.86743 3.48778
229000 0.0370963 0.0364247 -1.86504 3.47854
229100 0.0373462 0.0366658 -1.89868 3.60519
229200 0.0375962 0.0369067 -1.86803 3.48978
229300 0.0378462 0.0371476 -1.858 3.45235
229400 0.0380963 0.0373885 -1.84515 3.40488
229500 0.0383463 0.0376293 -1.84617 3.40867
229600 0.0385962 0.03787 -1.86763 3.48823
229700 0.0388462 0.0381107 -1.85803 3.45247
229800 0.0390963 0.0383513 -1.90897 3.64424
229900 0.0393463 0.0385919 -1.8929 3.5831
230000 0.0395963 0.0388324 -1.91028 3.64922
230100 0.0398462 0.0390729 -1.90318 3.62229
230200 0.0400962 0.0393133 -1.92134 3.69192
230300 0.0403463 0.0395536 -1.93208 3.73311
230400 0.0405963 0.0397939 -1.92901 3.72119
230500 0.0408462 0.0400341 -1.95586 3.82539
230600 0.0410962 0.0402742 -1.92989 3.72455
230700 0.0413462 0.0405143 -1.96586 3.86496
230800 0.0415963 0.0407544 -1.93016 3.72573
230900 0.0418463 0.0409944 -1.9711 3.88601
231000 0.0420962 0.0412343 -1.99147 3.96627
231100 0.0423462 0.0414742 -1.98765 3.95119
231200 0.0425963 0.041714 -2.01038 4.04186
231300 0.0428463 0.0419538 -1.98374 3.93538
231400 0.0430962 0.0421935 -2.01681 4.06757
231500 0.0433462 0.0424331 -1.99307 3.97234
231600 0.0435962 0.0426727 -2.01518 4.06103
231700 0.0438463 0.0429122 -1.99798 3.99203
231800 0.0440963 0.0431517 -2.03379 4.13634
231900 0.0443463 0.0433911 -2.0247 4.09948
232000 0.0445962 0.0436304 -2.0503 4.20387
232100 0.0448463 0.0438697 -2.04411 4.1786
232200 0.0450963 0.044109 -2.04054 4.16383
232300 0.0453463 0.0443482 -2.02122 4.08552
232400 0.0455962 0.0445873 -2.02374 4.09558
232500 0.0458462 0.0448264 -2.03243 4.13085
232600 0.0460963 0.0450654 -2.04942 4.20025
232700 0.0463463 0.0453043 -2.06135 4.24947
232800 0.0465963 0.0455432 -2.01854 4.07458
232900 0.0468462 0.0457821 -2.03138 4.12662
233000 0.0470963 0.0460209 -2.00368 4.01475
233100 0.0473463 0.0462596 -1.99716 3.98867
233200 0.0475963 0.0464983 -1.99507 3.98033
233300 0.0478462 0.0467369 -2.02198 4.08847
233400 0.0480962 0.0469754 -2.02591 4.10432
233500 0.0483463 0.0472139 -2.02753 4.11087
233600 0.0485962 0.0474524 -2.01818 4.0731
233700 0.0488463 0.0476907 -1.98748 3.95019
233800 0.0490962 0.0479291 -1.97391 3.89636
233900 0.0493463 0.0481673 -1.95682 3.82917
234000 0.0495963 0.0484056 -1.95287 3.81373
234100 0.0498463 0.0486437 -1.95608 3.82628
234200 0.0500962 0.0488818 -1.94117 3.76819
234300 0.0503462 0.0491199 -1.96323 3.85438
234400 0.0505963 0.0493579 -1.95976 3.84081
