#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
  99000      1.96e+00      3.27e-03      1.01e-01    3.8e-04
 100000      1.29e+00      9.65e-03      6.80e-02    3.6e-04
 101000      1.95e+00      2.03e-03      1.03e-01    3.6e-04
 102000      1.74e+00      2.96e-03      9.17e-02    3.6e-04
 103000      1.52e+00      4.96e-03      8.00e-02    3.6e-04
 104000      1.23e+00      1.43e-03      6.48e-02    3.6e-04
 105000      1.74e+00      4.63e-05      9.43e-02    3.4e-04
 106000      1.87e+00      5.09e-02      9.98e-02    3.4e-04
 107000      1.81e+00      1.48e-03      9.82e-02    3.4e-04
 108000      1.75e+00      1.05e-02      9.44e-02    3.4e-04
 109000      1.81e+00      2.59e-03      9.79e-02    3.4e-04
 110000      1.67e+00      1.50e-02      9.28e-02    3.2e-04
 111000      2.19e+00      5.00e-03      1.22e-01    3.2e-04
 112000      1.56e+00      6.10e-03      8.62e-02    3.2e-04
 113000      4.70e-01      5.86e-03      2.61e-02    3.2e-04
 114000      1.79e+00      8.70e-03      9.91e-02    3.2e-04
 115000      1.74e+00      1.35e-02      9.80e-02    3.1e-04
 116000      1.85e+00      7.19e-03      1.05e-01    3.1e-04
 117000      1.52e+00      7.95e-04      8.67e-02    3.1e-04
 118000      1.63e+00      1.28e-04      9.31e-02    3.1e-04
 119000      1.86e+00      4.25e-02      9.82e-02    3.1e-04
 120000      1.73e+00      2.99e-03      1.01e-01    2.9e-04
 121000      1.63e+00      1.85e-02      9.50e-02    2.9e-04
 122000      1.23e+00      3.43e-02      7.11e-02    2.9e-04
 123000      1.52e+00      3.40e-03      8.86e-02    2.9e-04
 124000      2.03e+00      2.56e-02      1.16e-01    2.9e-04
 125000      1.67e+00      1.32e-03      1.00e-01    2.8e-04
 126000      2.39e-01      7.28e-03      1.41e-02    2.8e-04
 127000      1.48e+00      9.90e-03      8.84e-02    2.8e-04
 128000      1.12e+00      4.72e-03      6.72e-02    2.8e-04
 129000      3.56e-01      3.98e-03      2.13e-02    2.8e-04
 130000      1.21e+00      3.92e-03      7.47e-02    2.6e-04
 131000      1.50e+00      4.49e-03      9.18e-02    2.6e-04
 132000      1.46e+00      3.21e-03      9.01e-02    2.6e-04
 133000      1.53e+00      7.61e-03      9.40e-02    2.6e-04
 134000      1.45e+00      1.36e-03      8.92e-02    2.6e-04
 135000      1.05e+00      7.46e-03      6.64e-02    2.5e-04
 136000      5.25e-01      1.14e-02      3.28e-02    2.5e-04
 137000      1.44e+00      3.03e-03      9.10e-02    2.5e-04
 138000      1.67e+00      4.63e-03      1.06e-01    2.5e-04
 139000      1.58e+00      5.05e-03      9.97e-02    2.5e-04
 140000      1.43e+00      7.74e-03      9.21e-02    2.4e-04
 141000      1.44e+00      1.44e-04      9.34e-02    2.4e-04
 142000      1.54e+00      2.55e-02      9.93e-02    2.4e-04
 143000      1.54e+00      3.34e-02      9.87e-02    2.4e-04
 144000      1.01e+00      1.38e-02      6.48e-02    2.4e-04
 145000      1.17e+00      2.54e-03      7.78e-02    2.3e-04
 146000      1.05e+00      8.78e-03      6.94e-02    2.3e-04
 147000      1.34e+00      2.21e-02      8.50e-02    2.3e-04
 148000      1.30e+00      3.12e-04      8.61e-02    2.3e-04
 149000      1.23e+00      3.18e-02      8.06e-02    2.3e-04
 150000      1.47e+00      1.82e-03      1.00e-01    2.1e-04
 151000      1.36e+00      3.13e-03      9.26e-02    2.1e-04
 152000      1.35e+00      2.49e-03      9.18e-02    2.1e-04
 153000      1.30e+00      6.54e-03      8.83e-02    2.1e-04
 154000      1.18e+00      6.74e-02      7.48e-02    2.1e-04
 155000      5.58e-01      7.36e-03      3.89e-02    2.0e-04
 156000      9.90e-01      1.54e-04      6.92e-02    2.0e-04
 157000      9.58e-01      9.15e-03      6.68e-02    2.0e-04
 158000      1.31e+00      1.07e-03      9.13e-02    2.0e-04
 159000      1.06e+00      1.08e-02      7.38e-02    2.0e-04
 160000      1.16e+00      9.76e-03      8.33e-02    1.9e-04
 161000      1.27e+00      4.11e-04      9.09e-02    1.9e-04
 162000      1.41e+00      1.12e-02      1.01e-01    1.9e-04
 163000      1.33e+00      3.89e-03      9.55e-02    1.9e-04
 164000      1.25e+00      3.57e-03      8.95e-02    1.9e-04
 165000      1.16e+00      1.61e-03      8.50e-02    1.8e-04
 166000      1.16e+00      4.50e-03      8.52e-02    1.8e-04
 167000      1.36e+00      6.49e-03      1.00e-01    1.8e-04
 168000      1.34e+00      1.86e-02      9.56e-02    1.8e-04
 169000      1.11e+00      1.04e-03      8.13e-02    1.8e-04
 170000      8.94e-01      5.64e-03      6.74e-02    1.7e-04
 171000      1.36e-01      5.44e-03      9.95e-03    1.7e-04
 172000      1.17e+00      4.75e-03      8.84e-02    1.7e-04
 173000      1.18e+00      2.22e-03      8.93e-02    1.7e-04
 174000      1.31e+00      7.69e-04      9.86e-02    1.7e-04
 175000      1.19e+00      3.02e-03      9.21e-02    1.7e-04
 176000      1.38e-01      6.44e-03      1.02e-02    1.7e-04
 177000      1.24e+00      1.75e-03      9.58e-02    1.7e-04
 178000      1.28e+00      3.40e-04      9.88e-02    1.7e-04
 179000      7.63e-01      7.09e-03      5.90e-02    1.7e-04
 180000      1.04e+00      3.38e-03      8.27e-02    1.6e-04
 181000      9.70e-01      1.97e-03      7.70e-02    1.6e-04
 182000      1.12e+00      3.44e-03      8.87e-02    1.6e-04
 183000      1.47e-01      4.49e-03      1.14e-02    1.6e-04
 184000      9.83e-01      2.54e-02      7.69e-02    1.6e-04
 185000      9.67e-01      1.63e-03      7.87e-02    1.5e-04
 186000      8.25e-01      1.08e-02      6.69e-02    1.5e-04
 187000      1.13e+00      2.92e-03      9.20e-02    1.5e-04
 188000      1.11e+00      1.19e-02      8.86e-02    1.5e-04
 189000      1.13e+00      1.04e-02      9.10e-02    1.5e-04
 190000      1.19e+00      4.34e-03      9.88e-02    1.4e-04
 191000      1.09e+00      3.36e-04      9.12e-02    1.4e-04
 192000      1.10e+00      4.19e-03      9.17e-02    1.4e-04
